borough,neighborhood,latitude,longitude
Tempelhof-Schöneberg,Schöneberg,52.482157,13.3551901
Neukölln,Rudow,52.4146801,13.4986183
Neukölln,Gropiusstadt,52.4249493,13.466183
Mitte,Mitte,52.5176896,13.4023757
Mitte,Moabit,52.5301017,13.3425422
Mitte,Hansaviertel,52.5191234,13.3418725
Mitte,Tiergarten,52.5097776,13.3572597
Mitte,Wedding,52.550123,13.34197
Mitte,Gesundbrunnen,52.5509201,13.384846
Friedrichshain-Kreuzberg,Friedrichshain,52.5122154,13.4502904
Friedrichshain-Kreuzberg,Kreuzberg,52.4976443,13.411914
Pankow,Prenzlauer Berg,52.5398466,13.4285652
Pankow,Weißensee,52.5546193,13.4630018
Pankow,Blankenburg,52.593211,13.4541825
Pankow,Heinersdorf,52.5728248,13.4370149
Pankow,Karow,52.6150868,13.4862758
Pankow,Pankow,52.59766255,13.436351401882
Pankow,Blankenfelde,52.6186272,13.3884468
Pankow,Buch,52.6366724,13.4999292
Pankow,Französisch Buchholz,52.6105131,13.4281104
Pankow,Niederschönhausen,52.5858062,13.401397
Pankow,Rosenthal,52.5983189,13.3755194
Pankow,Wilhelmsruh,52.5880115,13.3622059
Charlottenburg-Wilmersdorf,Charlottenburg,52.515747,13.3096834
Charlottenburg-Wilmersdorf,Wilmersdorf,52.4871152,13.3203298
Charlottenburg-Wilmersdorf,Schmargendorf,52.4789022,13.2929962
Charlottenburg-Wilmersdorf,Grunewald,52.4873475,13.2637538
Charlottenburg-Wilmersdorf,Westend,52.5133992,13.2558416
Charlottenburg-Wilmersdorf,Charlottenburg-Nord,52.5405253,13.2962663
Charlottenburg-Wilmersdorf,Halensee,52.4972262,13.2929986
Spandau,Spandau,52.5192672,13.195439
Spandau,Haselhorst,52.5413233,13.231156
Spandau,Siemensstadt,52.5398082,13.2568934
Spandau,Staaken,52.5322705,13.1433666
Spandau,Gatow,52.4856409,13.1801341
Spandau,Kladow,52.4602925,13.1400517
Spandau,Hakenfelde,52.5609908,13.1967693
Spandau,Falkenhagener Feld,52.5524034,13.1668941
Spandau,Wilhelmstadt,52.5139207,13.1914518
Steglitz-Zehlendorf,Steglitz,52.4572569,13.3222865
Steglitz-Zehlendorf,Lichterfelde,52.437293,13.3138645
Steglitz-Zehlendorf,Lankwitz,52.4336977,13.3454858
Steglitz-Zehlendorf,Zehlendorf,52.4343217,13.2589298
Steglitz-Zehlendorf,Dahlem,52.4573805,13.2810976
Steglitz-Zehlendorf,Nikolassee,52.4262495,13.1981446
Steglitz-Zehlendorf,Wannsee,52.4211482,13.1589374
Tempelhof-Schöneberg,Friedenau,52.472075,13.3296424
Tempelhof-Schöneberg,Tempelhof,52.4632921,13.3864477
Tempelhof-Schöneberg,Mariendorf,52.44008,13.3900277
Tempelhof-Schöneberg,Marienfelde,52.4125766,13.3665916
Tempelhof-Schöneberg,Lichtenrade,52.3934559,13.4020397
Neukölln,Neukölln,52.4811497,13.4353501
Neukölln,Britz,52.4483324,13.4423401
Neukölln,Buckow,52.4186619,13.4289504
Treptow-Köpenick,Alt-Treptow,52.4925634,13.4598743
Treptow-Köpenick,Plänterwald,52.4795439,13.4788076
Treptow-Köpenick,Baumschulenweg,52.4616938,13.4815479
Treptow-Köpenick,Johannisthal,52.4459114,13.504547
Treptow-Köpenick,Niederschöneweide,52.4548197,13.5178766
Treptow-Köpenick,Altglienicke,52.4118382,13.5426461
Treptow-Köpenick,Adlershof,52.4378932,13.5475496
Treptow-Köpenick,Bohnsdorf,52.4022426,13.5706649
Treptow-Köpenick,Oberschöneweide,52.4624563,13.5234762
Treptow-Köpenick,Köpenick,52.4539099,13.5764126
Treptow-Köpenick,Friedrichshagen,52.4493804,13.6262724
Treptow-Köpenick,Rahnsdorf,52.4353129,13.7003862
Treptow-Köpenick,Grünau,52.4154272,13.5805633
Treptow-Köpenick,Müggelheim,52.4121651,13.6619543
Treptow-Köpenick,Schmöckwitz,52.3756651,13.6488551
Marzahn-Hellersdorf,Marzahn,52.5429481,13.563142
Marzahn-Hellersdorf,Biesdorf,52.5109922,13.5550131
Marzahn-Hellersdorf,Kaulsdorf,52.5101316,13.5809901
Marzahn-Hellersdorf,Mahlsdorf,52.5060776,13.6118588
Marzahn-Hellersdorf,Hellersdorf,52.5368537,13.6047745
Lichtenberg,Friedrichsfelde,52.5029358,13.5205456
Lichtenberg,Karlshorst,52.4837034,13.5233553
Lichtenberg,Lichtenberg,52.5321606,13.5118927
Lichtenberg,Falkenberg,52.5692998,13.5400296
Lichtenberg,Hohenschönhausen,52.5494181,13.5021940990118
Lichtenberg,Malchow,52.5798667,13.4820928
Lichtenberg,Wartenberg,52.5753945,13.5175821
Lichtenberg,Neu-Hohenschönhausen,52.5663309,13.514065
Lichtenberg,Alt-Hohenschönhausen,52.5504091,13.5025491
Lichtenberg,Fennpfuhl,52.5287849,13.4734687
Lichtenberg,Rummelsburg,52.5013696,13.4835143
Reinickendorf,Reinickendorf,52.6047631,13.2952872
Reinickendorf,Tegel,52.5873891,13.2790461
Reinickendorf,Konradshöhe,52.5856837,13.2231978
Reinickendorf,Heiligensee,52.6122549,13.2295789
Reinickendorf,Frohnau,52.6323917,13.2878663
Reinickendorf,Hermsdorf,52.6183341,13.3110313
Reinickendorf,Waidmannslust,52.60599315,13.3210460691062
Reinickendorf,Lübars,52.6146467,13.3530197
Reinickendorf,Wittenau,52.5912366,13.3233195
Reinickendorf,Märkisches Viertel,52.5993123,13.3565324
Reinickendorf,Borsigwalde,52.5840624,13.3022741
Pankow,Stadtrandsiedlung Malchow,52.5710194,13.4632849
Spandau,Spandau Neustadt,52.548952,13.205414
